20001,AAAA BHI JA ,TEESRI KASAM ,LATA MANGESHKAR 
20002,AA AB LAUT CHALE ,JIS DESH MEIN GANGA BEHTI HAI ,MUKESH, LATA 
20003,AA CHAL KE TUJHE ,DOOR GAGAN KI CHHAON MEIN ,KISHOE KUMAR 
20004,AA DIL SE DIL MILA LE ,NAVRANG ,ASHA BHOSLE 
20005,AA GALE LAG JA ,APRIL FOOL ,MOHD. RAFI 
20006,AA JAANEJAAN ,INTEQAM ,LATA MANGESHKAR 
20007,AA JAO TADAPTE HAI ,AAWAARA ,LATA MANGESHKAR 
20008,AA MERE HUMJOLI AA ,JEENE KI RAAH ,LATA, MOHD. RAFI 
20009,AA MERI JAAN ,CHANDNI ,LATA MANGESHKAR 
20010,AADAMI ZINDAGI ,VISHWATMA ,MOHD. AZIZ 
20011,AADHA HAI CHANDRAMA ,NAVRANG ,MAHENDRA & ASHA BHOSLE 
20012,AADMI MUSAFIR HAI ,APNAPAN ,LATA, MOHD. RAFI 
20013,AAGE BHI JAANE NATU ,WAQT ,ASHA BHOSLE 
20014,AAH KO CHAHIYE ,MIRZA GAALIB ,JAGJEET SINGH 
20015,AAHA AYEE MILAN KI BELA ,AYEE MILAN KI BELA ,ASHA, MOHD. RAFI 
20016,AALAALYA SOOKU SOOKU ,JUNGLEE ,MOHD. RAFI 
20017,AAINA BATA KAISE ,MOHABBAT ,SONU NIGAM, VINOD 
20018,AAJ HAI DO OCTOBER KA DIN ,PARIVAR ,LATA MANGESHKAR 
20019,AAJ KAL PAANV ZAMEEN PAR ,GHAR ,LATA MANGESHKAR 
20020,AAJ KI RAAT PIYA ,BAAZI ,GEETA DUTT 
20021,AAJ KI SHAAM ,TAWAIF ,ASHA BHOSLE 
20022,AAJ MADAHOSH HUA JAAYE RE ,SHARMILEE ,LATA, KISHORE 
20023,AAJ MAIN JAWAAN HO GAYI HOON ,MAIN SUNDAR HOON ,LATA MANGESHKAR 
20024,AAJ MAUSAM BADA BEIMAAN HAI ,LOAFER ,MOHD. RAFI 
20025,AAJ MERE MAAN MAIN SAKHI ,AAN ,LATA MANGESHKAR 
20026,AAJ MERE YAAR KI SHAADI HAI ,AADMI SADAK KA ,MOHD.RAFI 
20027,AAJ NA CHHODENGE ,KATI PATANG ,KISHORE KUMAR, LATA 
20028,AAJ PHIR JEENE KI ,GUIDE ,LATA MANGESHKAR 
20029,AAJ PURANI RAAHON SE ,AADMI ,MOHD. RAFI 
20030,AAJ RAAT CHANDNI ,KAL KI AWAZ ,KUMAR SANU,SADHANA 
20031,AAJ RAAT HAI JAWAN ,BHAI BHAI(1970) ,ASHA BHOSLE 
20032,AAJ SE PEHLE ,CHITCHOR ,K.J. YESUDAS 
20033,AAJ SOCHA TO ,HANSTE ZAKHM ,LATA MANGESHKAR 
20034,AAJ TERE NAINA MILKE ,EHSAAN ,MOHD. RAFI,ASHA 
20035,AAJA AAJA MAIN HOON ,TEESRI MANZIL ,MOHD.RAFI,ASHA 
20036,AAJA GUFAAON MEIN AA ,AKS ,VASUNDHARA DAS, K.K 
20037,AAJA KE INTEZAR ME ,HALAAK00 ,LATA MANGESHKAR, MOHD.RA 
20038,AAJA MERI BARBAAD MOHABBAT ,ANMOL GHADI ,NOOR JEHAN 
20039,AAJA PANCHHI AKELAI HAI ,NAU DO GYARAH ,MOHD. RAFI, ASHA 
20040,AAJA RE ,AAH ,LATA MANGESHKAR & MUKESH 
20041,AAJA RE AA ZARA AA ,LOVE IN TOKYO ,MOHD. RAFI 
20042,AAJA RE 0 MERE ,NOORI ,LATA, NITIN MUKESH 
20043,AAJA RE PYAAR PUKAARE ,DIL NE PHIR YAAD KIYA ,LATA MANGESHKAR 
20044,AAJA SHAAM HONE AAYI ,MAINE PYAAR KIYA ,LATA MANGESHKAR & S.P.B. 
20045,AAJAA SANAM MADHUR CHANDNI MEIN HUM ,CHORI CHORI ,LATA MANGESHKAR, MANNA DEY 
20046,AAJKAL TERE MERE PYAR KE ,BRAMHACHARI ,SUMAN KALYANPUR, MOHD.RAFI 
20047,AAKE SEEDHI LAGI DIL PE ,HALF TICKET ,KISHORE KUMAR 
20048,AAKHON AAKHON MEIN BAAT HONE DO ,MEHEL ,ASHA BHOSLE & KISHOR KUMAR 
20049,AAKHON MAI KYA JI ,NAU DO GYARAH ,ASHA BHOSLE.KISHORE KUMAR 
20050,AAKHON SE JO UTRI HAI DIL MAIN ,PHIR WAHI DIL LAYA HOON ,ASHA BHOSLE 
20051,AALI RE AALIRE HOLI ,ZAKHMEE(1975) ,KISHORE KUMAR 
20052,AALI RE SAALI RE ,ONE KILLED JESSICA ,SONU KAKKAR,ANUSHKA 
20053,AAN MILO SAJNA ,AAN MILO SAJNA ,LATA MANGESHKAR, MOHD.RAFI 
20054,AANE SE USKE AAYE BAHAAR ,JEENE KI RAAH ,MOHD. RAFI & BHUPINDER 
